                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90072,                0.89628,                      1,                0.78158,             0.00022134,             0.00022134,             0.00022134
                      2,                0.28107,                0.97739,                      1,                0.59326,             0.00044537,             0.00044537,             0.00044537
                      3,                0.08964,                0.99468,                      1,                0.56234,             0.00066487,             0.00066487,             0.00066487
                      4,                0.03399,                0.99601,                      1,                0.55811,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01955,                0.99734,                      1,                0.55534,             0.00068573,             0.00068573,             0.00068573
                      6,                0.02073,                0.99867,                      1,                0.55355,             0.00067866,             0.00067866,             0.00067866
                      7,                0.02043,                0.99867,                      1,                0.55355,             0.00067159,             0.00067159,             0.00067159
                      8,                0.01667,                      1,                      1,                0.55355,             0.00066452,             0.00066452,             0.00066452
                      9,                0.00928,                      1,                      1,                 0.5529,             0.00065745,             0.00065745,             0.00065745
                     10,                0.01065,                0.99734,                      1,                0.55371,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02106,                      1,                      1,                0.55225,             0.00064331,             0.00064331,             0.00064331
                     12,                0.01482,                      1,                      1,                0.55192,             0.00063625,             0.00063625,             0.00063625
                     13,                0.01206,                0.99867,                      1,                0.55225,             0.00062918,             0.00062918,             0.00062918
                     14,                0.00961,                      1,                      1,                 0.5516,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0104,                      1,                      1,                 0.5516,             0.00061504,             0.00061504,             0.00061504
                     16,                0.00878,                      1,                      1,                0.55176,             0.00060797,             0.00060797,             0.00060797
                     17,                0.00725,                      1,                      1,                0.55225,              0.0006009,              0.0006009,              0.0006009
                     18,                0.00582,                      1,                      1,                0.55127,             0.00059383,             0.00059383,             0.00059383
                     19,                0.00819,                0.99867,                      1,                0.55306,             0.00058677,             0.00058677,             0.00058677
                     20,                0.00911,                0.99867,                      1,                 0.5529,              0.0005797,              0.0005797,              0.0005797
                     21,                 0.0132,                      1,                      1,                0.55192,             0.00057263,             0.00057263,             0.00057263
                     22,                0.00705,                      1,                      1,                0.55192,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01061,                      1,                      1,                0.55143,             0.00055849,             0.00055849,             0.00055849
                     24,                0.00885,                      1,                      1,                0.55192,             0.00055142,             0.00055142,             0.00055142
                     25,                0.00406,                      1,                      1,                0.55208,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00534,                      1,                      1,                0.55192,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.0087,                0.99867,                      1,                0.55257,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00473,                      1,                      1,                0.55127,             0.00052315,             0.00052315,             0.00052315
                     29,                 0.0053,                      1,                      1,                0.55143,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00755,                      1,                      1,                0.55127,             0.00050901,             0.00050901,             0.00050901
                     31,                0.00418,                      1,                      1,                0.55127,             0.00050194,             0.00050194,             0.00050194
                     32,                0.00496,                      1,                      1,                 0.5516,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00347,                      1,                      1,                0.55192,              0.0004878,              0.0004878,              0.0004878
                     34,                0.00799,                      1,                      1,                0.55127,             0.00048074,             0.00048074,             0.00048074
                     35,                0.00747,                      1,                      1,                0.55176,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00645,                      1,                      1,                0.55176,              0.0004666,              0.0004666,              0.0004666
                     37,                0.00468,                      1,                      1,                0.55143,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00759,                      1,                      1,                0.55127,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00418,                      1,                      1,                0.55143,             0.00044539,             0.00044539,             0.00044539
                     40,                0.00252,                      1,                      1,                0.55127,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00362,                      1,                      1,                0.55127,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00535,                      1,                      1,                0.55143,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00432,                      1,                      1,                0.55127,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00549,                      1,                      1,                0.55143,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00786,                      1,                      1,                0.55127,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00662,                      1,                      1,                0.55127,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00508,                      1,                      1,                0.55127,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00233,                      1,                      1,                0.55127,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00574,                      1,                      1,                0.55127,             0.00037471,             0.00037471,             0.00037471
                     50,                0.00519,                      1,                      1,                0.55127,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00242,                      1,                      1,                0.55127,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00259,                      1,                      1,                0.55127,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.0029,                      1,                      1,                0.55127,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00158,                      1,                      1,                0.55127,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00188,                      1,                      1,                0.55127,              0.0003323,              0.0003323,              0.0003323
                     56,                 0.0006,                      1,                      1,                0.55127,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00272,                      1,                      1,                0.55127,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00172,                      1,                      1,                0.55127,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00503,                      1,                      1,                0.55176,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00235,                      1,                      1,                0.55127,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00402,                      1,                      1,                0.55143,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00338,                      1,                      1,                0.55127,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00177,                      1,                      1,                0.55143,             0.00027575,             0.00027575,             0.00027575
                     64,                 0.0021,                      1,                      1,                0.55143,             0.00026868,             0.00026868,             0.00026868
                     65,                0.00421,                      1,                      1,                0.55143,             0.00026161,             0.00026161,             0.00026161
                     66,                0.00218,                      1,                      1,                0.55127,             0.00025454,             0.00025454,             0.00025454
                     67,                0.00313,                      1,                      1,                0.55127,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00228,                      1,                      1,                0.55127,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00294,                      1,                      1,                0.55127,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00102,                      1,                      1,                0.55127,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00099,                      1,                      1,                0.55127,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00082,                      1,                      1,                0.55127,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00289,                      1,                      1,                0.55127,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00129,                      1,                      1,                0.55127,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00077,                      1,                      1,                0.55127,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00096,                      1,                      1,                0.55127,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00307,                      1,                      1,                0.55127,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00166,                      1,                      1,                0.55127,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00168,                      1,                      1,                0.55127,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00096,                      1,                      1,                0.55127,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00279,                      1,                      1,                0.55127,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00233,                      1,                      1,                0.55127,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00125,                      1,                      1,                0.55127,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00134,                      1,                      1,                0.55127,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00089,                      1,                      1,                0.55127,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00126,                      1,                      1,                0.55127,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00051,                      1,                      1,                0.55127,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00139,                      1,                      1,                0.55127,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00096,                      1,                      1,                0.55127,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00112,                      1,                      1,                0.55127,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00103,                      1,                      1,                0.55127,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00093,                      1,                      1,                0.55127,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00125,                      1,                      1,                0.55127,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00126,                      1,                      1,                0.55127,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00095,                      1,                      1,                0.55127,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00095,                      1,                      1,                0.55127,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00135,                      1,                      1,                0.55127,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00089,                      1,                      1,                0.55127,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00049,                      1,                      1,                0.55127,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00056,                      1,                      1,                0.55127,             1.4209e-05,             1.4209e-05,             1.4209e-05
